,,,,,,,,,,,,,,,,,,,,,
Row_Label,Q1,Confid-1,ECR-1,CECR-1,Q2,Confid-2,ECR-2,CECR-2,Q3,Confid-3,ECR-3,CECR-3,,Brier-Q1,Brier-ECR1,Brier-Q2,Brier-ECR2,Brier-Q3,Brier-ECR3,Row Brier,Row ACC
Par-1G GPT,1,100%,1,99%,1,98%,1,99%,0,88%,1,99%,Par-1G GPT,0,0.0001,0.0004,0.0001,0.7744,0.0001,0.129183,0.8333333333
Vis-1G Gemini,1,100%,1,100%,1,100%,1,100%,1,90%,1,100%,Vis-1G Gemini,0,0,0,0,0.01,0,0.001667,1
Dat-1G Gemini,1,100%,1,100%,1,100%,1,100%,0,90%,1,100%,Dat-1G Gemini,0,0,0,0,0.81,0,0.135000,0.8333333333
Par-1G Gemini,1,100%,1,100%,1,100%,1,100%,0,95%,1,100%,Par-1G Gemini,0,0,0,0,0.9025,0,0.150417,0.8333333333
Vis-1H Claude,1,72%,1,82%,1,82%,1,95%,0,82%,1,97%,Vis-1H Claude,0.0784,0.0324,0.0324,0.0025,0.6724,0.0009,0.136500,0.8333333333
Dat-1H Claude,1,99%,1,99%,1,92%,1,99%,1,62%,1,95%,Dat-1H Claude,0.0001,0.0001,0.0064,0.0001,0.1444,0.0025,0.025600,1
Par-1H Claude,1,99%,1,99%,1,92%,1,99%,1,62%,1,85%,Par-1H Claude,0.0001,0.0001,0.0064,0.0001,0.1444,0.0225,0.028933,1
Vis-1H GPT,1,98%,1,98%,1,96%,1,99%,1,92%,1,96%,Vis-1H GPT,0.0004,0.0004,0.0016,0.0001,0.0064,0.0016,0.001750,1
Dat-1H GPT,1,100%,1,100%,1,98%,1,98%,1,90%,1,98%,Dat-1H GPT,0,0,0.0004,0.0004,0.01,0.0004,0.001867,1
Par-1H GPT,1,100%,1,100%,1,98%,1,100%,1,95%,1,96%,Par-1H GPT,0,0,0.0004,0,0.0025,0.0016,0.000750,1
Vis-1H Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Vis-1H Gemini,0,0,0,0,0,0,0.000000,1
Dat-1H Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-1H Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-1H Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-1H Gemini,0,0,0,0,0,0,0.000000,1
Vis-1I Claude,1,82%,1,75%,1,97%,1,99%,1,62%,1,98%,Vis-1I Claude,0.0324,0.0625,0.0009,0.0001,0.1444,0.0004,0.040117,1
Dat-1I Claude,1,99%,1,99%,1,99%,1,99%,1,55%,1,99%,Dat-1I Claude,0.0001,0.0001,0.0001,0.0001,0.2025,0.0001,0.033833,1
Par-1I Claude,1,99%,1,99%,1,99%,1,99%,1,62%,1,99%,Par-1I Claude,0.0001,0.0001,0.0001,0.0001,0.1444,0.0001,0.024150,1
Vis-1I GPT,1,99%,1,98%,1,99%,1,99%,1,87%,1,99%,Vis-1I GPT,0.0001,0.0004,0.0001,0.0001,0.0169,0.0001,0.002950,1
Dat-1I GPT,1,100%,1,100%,1,100%,1,100%,1,92%,1,99%,Dat-1I GPT,0,0,0,0,0.0064,0.0001,0.001083,1
Par-1I GPT,1,100%,1,100%,1,99%,1,100%,1,95%,1,100%,Par-1I GPT,0,0,0.0001,0,0.0025,0,0.000433,1
Vis-1I Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Vis-1I Gemini,0,0,0,0,0,0,0.000000,1
Dat-1I Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Dat-1I Gemini,0,0,0,0,0,0,0.000000,1
Par-1I Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-1I Gemini,0,0,0,0,0,0,0.000000,1
Vis-1J Claude,1,90%,1,95%,1,97%,1,99%,0,85%,1,97%,Vis-1J Claude,0.01,0.0025,0.0009,0.0001,0.7225,0.0009,0.122817,0.8333333333
Dat-1J Claude,1,99%,1,99%,1,98%,1,99%,1,52%,1,95%,Dat-1J Claude,0.0001,0.0001,0.0004,0.0001,0.2304,0.0025,0.038933,1
Par-1J Claude,1,99%,1,99%,1,99%,1,99%,0,42%,1,92%,Par-1J Claude,0.0001,0.0001,0.0001,0.0001,0.1764,0.0064,0.030533,0.8333333333
Vis-1J GPT,1,98%,1,98%,1,98%,1,99%,1,88%,1,99%,Vis-1J GPT,0.0004,0.0004,0.0004,0.0001,0.0144,0.0001,0.002633,1
Dat-1J GPT,1,100%,1,98%,1,99%,1,100%,1,89%,1,99%,Dat-1J GPT,0,0.0004,0.0001,0,0.0121,0.0001,0.002117,1
Par-1J GPT,1,100%,1,100%,1,99%,1,100%,1,88%,1,99%,Par-1J GPT,0,0,0.0001,0,0.0144,0.0001,0.002433,1
Vis-1J Gemini,1,100%,1,100%,1,100%,1,100%,0,100%,1,100%,Vis-1J Gemini,0,0,0,0,1,0,0.166667,0.8333333333
Dat-1J Gemini,1,100%,1,100%,1,100%,1,100%,0,95%,1,100%,Dat-1J Gemini,0,0,0,0,0.9025,0,0.150417,0.8333333333
Par-1J Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-1J Gemini,0,0,0,0,0,0,0.000000,1
Vis-2A Claude,1,45%,1,82%,1,90%,1,95%,1,90%,1,95%,Vis-2A Claude,0.3025,0.0324,0.01,0.0025,0.01,0.0025,0.059983,1
Dat-2A Claude,1,99%,1,98%,1,97%,1,97%,1,92%,1,99%,Dat-2A Claude,0.0001,0.0004,0.0009,0.0009,0.0064,0.0001,0.001467,1
Par-2A Claude,1,99%,1,99%,1,97%,1,99%,1,88%,1,99%,Par-2A Claude,0.0001,0.0001,0.0009,0.0001,0.0144,0.0001,0.002617,1
Vis-2A GPT,1,78%,1,83%,1,95%,1,97%,1,92%,1,96%,Vis-2A GPT,0.0484,0.0289,0.0025,0.0009,0.0064,0.0016,0.014783,1
Dat-2A GPT,1,100%,1,98%,1,98%,1,99%,1,95%,1,100%,Dat-2A GPT,0,0.0004,0.0004,0.0001,0.0025,0,0.000567,1
Par-2A GPT,1,100%,1,99%,1,99%,1,100%,1,96%,1,100%,Par-2A GPT,0,0.0001,0.0001,0,0.0016,0,0.000300,1
Vis-2A Gemini,1,90%,1,100%,1,100%,1,100%,1,100%,1,100%,Vis-2A Gemini,0.01,0,0,0,0,0,0.001667,1
Dat-2A Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-2A Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-2A Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-2A Gemini,0,0,0,0,0.0025,0,0.000417,1
Vis-2B Claude,1,40%,1,65%,1,82%,1,99%,0,72%,1,75%,Vis-2B Claude,0.36,0.1225,0.0324,0.0001,0.5184,0.0625,0.182650,0.8333333333
Dat-2B Claude,1,97%,1,95%,1,82%,1,98%,0,82%,1,92%,Dat-2B Claude,0.0009,0.0025,0.0324,0.0004,0.6724,0.0064,0.119167,0.8333333333
Par-2B Claude,1,95%,1,97%,1,82%,1,99%,1,78%,1,85%,Par-2B Claude,0.0025,0.0009,0.0324,0.0001,0.0484,0.0225,0.017800,1
Vis-2B GPT,0,92%,1,92%,1,94%,1,99%,0,86%,1,94%,Vis-2B GPT,0.8464,0.0064,0.0036,0.0001,0.7396,0.0036,0.266617,0.6666666667
Dat-2B GPT,1,98%,1,99%,1,95%,1,99%,0,85%,1,98%,Dat-2B GPT,0.0004,0.0001,0.0025,0.0001,0.7225,0.0004,0.121000,0.8333333333
Par-2B GPT,0,84%,0,98%,1,95%,1,99%,0,88%,1,82%,Par-2B GPT,0.7056,0.9604,0.0025,0.0001,0.7744,0.0324,0.412567,0.5
Vis-2B Gemini,0,95%,1,95%,1,95%,1,100%,0,90%,0,100%,Vis-2B Gemini,0.9025,0.0025,0.0025,0,0.81,1,0.452917,0.5
Dat-2B Gemini,0,100%,1,100%,1,95%,1,100%,0,90%,1,100%,Dat-2B Gemini,1,0,0.0025,0,0.81,0,0.302083,0.6666666667
Par-2B Gemini,1,100%,1,100%,1,100%,1,100%,1,85%,1,100%,Par-2B Gemini,0,0,0,0,0.0225,0,0.003750,1
Vis-2C Claude,1,40%,1,90%,1,88%,1,97%,0,55%,1,92%,Vis-2C Claude,0.36,0.01,0.0144,0.0009,0.3025,0.0064,0.115700,0.8333333333
Dat-2C Claude,1,85%,1,82%,1,88%,1,97%,0,52%,1,92%,Dat-2C Claude,0.0225,0.0324,0.0144,0.0009,0.2704,0.0064,0.057833,0.8333333333
Par-2C Claude,1,82%,1,78%,1,88%,1,99%,1,52%,1,95%,Par-2C Claude,0.0324,0.0484,0.0144,0.0001,0.2304,0.0025,0.054700,1
Vis-2C GPT,1,88%,1,86%,1,95%,1,97%,0,78%,1,91%,Vis-2C GPT,0.0144,0.0196,0.0025,0.0009,0.6084,0.0081,0.108983,0.8333333333
Dat-2C GPT,1,100%,1,100%,1,96%,1,96%,1,72%,1,96%,Dat-2C GPT,0,0,0.0016,0.0016,0.0784,0.0016,0.013867,1
Par-2C GPT,1,100%,1,96%,1,95%,1,100%,1,84%,1,96%,Par-2C GPT,0,0.0016,0.0025,0,0.0256,0.0016,0.005217,1
Vis-2C Gemini,1,90%,1,100%,1,100%,1,100%,0,85%,1,100%,Vis-2C Gemini,0.01,0,0,0,0.7225,0,0.122083,0.8333333333
Dat-2C Gemini,0,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-2C Gemini,1,0,0,0,0.0025,0,0.167083,0.8333333333
Par-2C Gemini,0,100%,1,100%,1,100%,1,100%,1,90%,1,100%,Par-2C Gemini,1,0,0,0,0.01,0,0.168333,0.8333333333
Vis-2D Claude,1,35%,1,80%,1,92%,1,95%,0,72%,1,92%,Vis-2D Claude,0.4225,0.04,0.0064,0.0025,0.5184,0.0064,0.166033,0.8333333333
Dat-2D Claude,1,99%,1,99%,1,97%,1,97%,0,78%,1,95%,Dat-2D Claude,0.0001,0.0001,0.0009,0.0009,0.6084,0.0025,0.102150,0.8333333333
Par-2D Claude,1,99%,1,99%,1,97%,1,97%,0,85%,1,97%,Par-2D Claude,0.0001,0.0001,0.0009,0.0009,0.7225,0.0009,0.120900,0.8333333333
Vis-2D GPT,1,78%,1,83%,1,96%,1,95%,1,90%,1,95%,Vis-2D GPT,0.0484,0.0289,0.0016,0.0025,0.01,0.0025,0.015650,1
Dat-2D GPT,1,100%,1,100%,1,98%,1,94%,1,93%,1,99%,Dat-2D GPT,0,0,0.0004,0.0036,0.0049,0.0001,0.001500,1
Par-2D GPT,,,,,,,,,,,,,Par-2D GPT,0,0,0,0,0,0,0.000000,0
Vis-2D Gemini,1,90%,1,100%,1,100%,1,100%,1,95%,1,100%,Vis-2D Gemini,0.01,0,0,0,0.0025,0,0.002083,1
Dat-2D Gemini,1,100%,1,100%,1,100%,1,100%,0,95%,1,100%,Dat-2D Gemini,0,0,0,0,0.9025,0,0.150417,0.8333333333
Par-2D Gemini,1,100%,1,100%,1,100%,1,100%,0,100%,1,100%,Par-2D Gemini,0,0,0,0,1,0,0.166667,0.8333333333
Vis-2E Claude,0,35%,1,82%,1,95%,1,99%,1,62%,1,95%,Vis-2E Claude,0.1225,0.0324,0.0025,0.0001,0.1444,0.0025,0.050733,0.8333333333
Dat-2E Claude,1,99%,1,90%,1,88%,1,99%,0,40%,1,92%,Dat-2E Claude,0.0001,0.01,0.0144,0.0001,0.16,0.0064,0.031833,0.8333333333
Par-2E Claude,1,99%,1,92%,1,88%,1,99%,1,45%,1,95%,Par-2E Claude,0.0001,0.0064,0.0144,0.0001,0.3025,0.0025,0.054333,1
Vis-2E GPT,1,88%,1,84%,1,95%,1,99%,0,85%,1,98%,Vis-2E GPT,0.0144,0.0256,0.0025,0.0001,0.7225,0.0004,0.127583,0.8333333333
Dat-2E GPT,1,100%,1,100%,1,95%,1,98%,0,87%,1,98%,Dat-2E GPT,0,0,0.0025,0.0004,0.7569,0.0004,0.126700,0.8333333333
Par-2E GPT,,,,,,,,,,,,,Par-2E GPT,0,0,0,0,0,0,0.000000,0
Vis-2E Gemini,0,95%,1,100%,1,100%,1,100%,0,95%,1,100%,Vis-2E Gemini,0.9025,0,0,0,0.9025,0,0.300833,0.6666666667
Dat-2E Gemini,0,100%,1,100%,1,100%,1,100%,1,90%,1,100%,Dat-2E Gemini,1,0,0,0,0.01,0,0.168333,0.8333333333
Par-2E Gemini,1,100%,1,100%,1,100%,1,100%,1,90%,1,100%,Par-2E Gemini,0,0,0,0,0.01,0,0.001667,1
Vis-2F Claude,1,45%,1,92%,1,82%,1,92%,0,72%,1,90%,Vis-2F Claude,0.3025,0.0064,0.0324,0.0064,0.5184,0.01,0.146017,0.8333333333
Dat-2F Claude,1,99%,1,99%,1,92%,1,99%,1,62%,1,95%,Dat-2F Claude,0.0001,0.0001,0.0064,0.0001,0.1444,0.0025,0.025600,1
Par-2F Claude,1,99%,1,99%,1,97%,1,99%,1,72%,1,95%,Par-2F Claude,0.0001,0.0001,0.0009,0.0001,0.0784,0.0025,0.013683,1
Vis-2F GPT,1,88%,1,96%,1,95%,1,95%,1,82%,1,95%,Vis-2F GPT,0.0144,0.0016,0.0025,0.0025,0.0324,0.0025,0.009317,1
Dat-2F GPT,1,100%,1,99%,1,98%,1,98%,1,95%,1,98%,Dat-2F GPT,0,0.0001,0.0004,0.0004,0.0025,0.0004,0.000633,1
Par-2F GPT,,,,,,,,,,,,,Par-2F GPT,0,0,0,0,0,0,0.000000,0
Vis-2F Gemini,1,95%,1,100%,1,95%,1,100%,1,100%,1,100%,Vis-2F Gemini,0.0025,0,0.0025,0,0,0,0.000833,1
Dat-2F Gemini,1,100%,1,100%,1,100%,1,100%,0,85%,1,100%,Dat-2F Gemini,0,0,0,0,0.7225,0,0.120417,0.8333333333
Par-2F Gemini,1,100%,1,100%,1,100%,1,100%,0,100%,1,100%,Par-2F Gemini,0,0,0,0,1,0,0.166667,0.8333333333
Vis-2G Claude,1,35%,1,85%,1,92%,1,99%,1,72%,1,99%,Vis-2G Claude,0.4225,0.0225,0.0064,0.0001,0.0784,0.0001,0.088333,1
Dat-2G Claude,1,99%,1,95%,1,92%,1,99%,1,42%,1,99%,Dat-2G Claude,0.0001,0.0025,0.0064,0.0001,0.3364,0.0001,0.057600,1
Par-2G Claude,1,99%,1,97%,1,97%,1,99%,1,52%,1,99%,Par-2G Claude,0.0001,0.0009,0.0009,0.0001,0.2304,0.0001,0.038750,1
Vis-2G GPT,1,94%,1,93%,1,96%,1,99%,1,85%,1,97%,Vis-2G GPT,0.0036,0.0049,0.0016,0.0001,0.0225,0.0009,0.005600,1
Dat-2G GPT,1,100%,1,100%,1,98%,1,98%,1,92%,1,99%,Dat-2G GPT,0,0,0.0004,0.0004,0.0064,0.0001,0.001217,1
Par-2G GPT,,,,,,,,,,,,,Par-2G GPT,0,0,0,0,0,0,0.000000,0
Vis-2G Gemini,1,95%,1,100%,1,100%,1,100%,0,100%,1,100%,Vis-2G Gemini,0.0025,0,0,0,1,0,0.167083,0.8333333333
Dat-2G Gemini,1,100%,1,100%,1,100%,1,100%,0,85%,1,100%,Dat-2G Gemini,0,0,0,0,0.7225,0,0.120417,0.8333333333
Par-2G Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-2G Gemini,0,0,0,0,0.0025,0,0.000417,1
Vis-2H Claude,1,35%,1,85%,1,88%,1,98%,1,72%,1,99%,Vis-2H Claude,0.4225,0.0225,0.0144,0.0004,0.0784,0.0001,0.089717,1
Dat-2H Claude,1,97%,1,95%,1,82%,1,99%,1,62%,1,97%,Dat-2H Claude,0.0009,0.0025,0.0324,0.0001,0.1444,0.0009,0.030200,1
Par-2H Claude,1,99%,1,92%,1,90%,1,97%,1,52%,1,97%,Par-2H Claude,0.0001,0.0064,0.01,0.0009,0.2304,0.0009,0.041450,1
Vis-2H GPT,1,90%,1,93%,1,95%,1,98%,1,88%,1,99%,Vis-2H GPT,0.01,0.0049,0.0025,0.0004,0.0144,0.0001,0.005383,1
Dat-2H GPT,1,100%,1,99%,1,96%,1,99%,1,88%,1,98%,Dat-2H GPT,0,0.0001,0.0016,0.0001,0.0144,0.0004,0.002767,1
Par-2H GPT,,,,,,,,,,,,,Par-2H GPT,0,0,0,0,0,0,0.000000,0
Vis-2H Gemini,1,85%,1,100%,1,95%,1,100%,1,100%,1,100%,Vis-2H Gemini,0.0225,0,0.0025,0,0,0,0.004167,1
Dat-2H Gemini,1,100%,1,100%,1,95%,1,100%,1,85%,1,100%,Dat-2H Gemini,0,0,0.0025,0,0.0225,0,0.004167,1
Par-2H Gemini,1,100%,1,100%,1,95%,1,100%,1,85%,1,100%,Par-2H Gemini,0,0,0.0025,0,0.0225,0,0.004167,1
Vis-2I Claude,0,45%,1,55%,1,88%,1,97%,1,72%,1,98%,Vis-2I Claude,0.2025,0.2025,0.0144,0.0009,0.0784,0.0004,0.083183,0.8333333333
Dat-2I Claude,1,99%,1,99%,x,x,1,99%,1,35%,1,90%,Dat-2I Claude,0.0001,0.0001,x,0.0001,0.4225,0.01,0.086560,0.8333333333
Par-2I Claude,x,x,x,x,x,x,x,x,x,x,x,x,Par-2I Claude,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,x
Vis-2I GPT,1,95%,1,93%,1,97%,1,98%,1,88%,1,98%,Vis-2I GPT,0.0025,0.0049,0.0009,0.0004,0.0144,0.0004,0.003917,1
Dat-2I GPT,1,100%,1,100%,1,96%,1,99%,1,89%,1,96%,Dat-2I GPT,0,0,0.0016,0.0001,0.0121,0.0016,0.002567,1
Par-2I GPT,,,,,,,,,,,,,Par-2I GPT,0,0,0,0,0,0,0.000000,0
Vis-2I Gemini,0,90%,1,95%,1,100%,1,100%,1,95%,1,100%,Vis-2I Gemini,0.81,0.0025,0,0,0.0025,0,0.135833,0.8333333333
