Row_Label,Row_Brier,Accuracy,Modality,Dataset_ID,Visualization_Type,Model,Row_Brier_raw,Accuracy_raw
Dat-1J GPT,0.002117,1.0,Dat,1J,Line_Graph,GPT,0.002117,1
Par-1J GPT,0.002433,1.0,Par,1J,Line_Graph,GPT,0.002433,1
Vis-1J Gemini,0.166667,0.8333333333,Vis,1J,Line_Graph,Gemini,0.166667,0.8333333333
Dat-1J Gemini,0.150417,0.8333333333,Dat,1J,Line_Graph,Gemini,0.150417,0.8333333333
Par-1J Gemini,0.0,1.0,Par,1J,Line_Graph,Gemini,0.000000,1
Vis-2A Claude,0.059983,1.0,Vis,2A,Color_Map,Claude,0.059983,1
Dat-2A Claude,0.001467,1.0,Dat,2A,Color_Map,Claude,0.001467,1
Par-2A Claude,0.002617,1.0,Par,2A,Color_Map,Claude,0.002617,1
Vis-2A GPT,0.014783,1.0,Vis,2A,Color_Map,GPT,0.014783,1
Dat-2A GPT,0.000567,1.0,Dat,2A,Color_Map,GPT,0.000567,1
Par-2A GPT,0.0003,1.0,Par,2A,Color_Map,GPT,0.000300,1
Vis-2A Gemini,0.001667,1.0,Vis,2A,Color_Map,Gemini,0.001667,1
Dat-2A Gemini,0.000417,1.0,Dat,2A,Color_Map,Gemini,0.000417,1
Par-2A Gemini,0.000417,1.0,Par,2A,Color_Map,Gemini,0.000417,1
Vis-2B Claude,0.18265,0.8333333333,Vis,2B,Color_Map,Claude,0.182650,0.8333333333
Dat-2B Claude,0.119167,0.8333333333,Dat,2B,Color_Map,Claude,0.119167,0.8333333333
Par-2B Claude,0.0178,1.0,Par,2B,Color_Map,Claude,0.017800,1
Vis-2B GPT,0.266617,0.6666666667,Vis,2B,Color_Map,GPT,0.266617,0.6666666667
Dat-2B GPT,0.121,0.8333333333,Dat,2B,Color_Map,GPT,0.121000,0.8333333333
Par-2B GPT,0.412567,0.5,Par,2B,Color_Map,GPT,0.412567,0.5
Vis-2B Gemini,0.452917,0.5,Vis,2B,Color_Map,Gemini,0.452917,0.5
Dat-2B Gemini,0.302083,0.6666666667,Dat,2B,Color_Map,Gemini,0.302083,0.6666666667
Par-2B Gemini,0.00375,1.0,Par,2B,Color_Map,Gemini,0.003750,1
Vis-2C Claude,0.1157,0.8333333333,Vis,2C,Color_Map,Claude,0.115700,0.8333333333
Dat-2C Claude,0.057833,0.8333333333,Dat,2C,Color_Map,Claude,0.057833,0.8333333333
Par-2C Claude,0.0547,1.0,Par,2C,Color_Map,Claude,0.054700,1
Vis-2C GPT,0.108983,0.8333333333,Vis,2C,Color_Map,GPT,0.108983,0.8333333333
Dat-2C GPT,0.013867,1.0,Dat,2C,Color_Map,GPT,0.013867,1
Par-2C GPT,0.005217,1.0,Par,2C,Color_Map,GPT,0.005217,1
Vis-2C Gemini,0.122083,0.8333333333,Vis,2C,Color_Map,Gemini,0.122083,0.8333333333
Dat-2C Gemini,0.167083,0.8333333333,Dat,2C,Color_Map,Gemini,0.167083,0.8333333333
Par-2C Gemini,0.168333,0.8333333333,Par,2C,Color_Map,Gemini,0.168333,0.8333333333
Vis-2D Claude,0.166033,0.8333333333,Vis,2D,Color_Map,Claude,0.166033,0.8333333333
Dat-2D Claude,0.10215,0.8333333333,Dat,2D,Color_Map,Claude,0.102150,0.8333333333
Par-2D Claude,0.1209,0.8333333333,Par,2D,Color_Map,Claude,0.120900,0.8333333333
Vis-2D GPT,0.01565,1.0,Vis,2D,Color_Map,GPT,0.015650,1
Dat-2D GPT,0.0015,1.0,Dat,2D,Color_Map,GPT,0.001500,1
Par-2D GPT,0.0,0.0,Par,2D,Color_Map,GPT,0.000000,0
Vis-2D Gemini,0.002083,1.0,Vis,2D,Color_Map,Gemini,0.002083,1
Dat-2D Gemini,0.150417,0.8333333333,Dat,2D,Color_Map,Gemini,0.150417,0.8333333333
Par-2D Gemini,0.166667,0.8333333333,Par,2D,Color_Map,Gemini,0.166667,0.8333333333
Vis-2E Claude,0.050733,0.8333333333,Vis,2E,Color_Map,Claude,0.050733,0.8333333333
Dat-2E Claude,0.031833,0.8333333333,Dat,2E,Color_Map,Claude,0.031833,0.8333333333
Par-2E Claude,0.054333,1.0,Par,2E,Color_Map,Claude,0.054333,1
Vis-2E GPT,0.127583,0.8333333333,Vis,2E,Color_Map,GPT,0.127583,0.8333333333
Dat-2E GPT,0.1267,0.8333333333,Dat,2E,Color_Map,GPT,0.126700,0.8333333333
Par-2E GPT,0.0,0.0,Par,2E,Color_Map,GPT,0.000000,0
Vis-2E Gemini,0.300833,0.6666666667,Vis,2E,Color_Map,Gemini,0.300833,0.6666666667
Dat-2E Gemini,0.168333,0.8333333333,Dat,2E,Color_Map,Gemini,0.168333,0.8333333333
Par-2E Gemini,0.001667,1.0,Par,2E,Color_Map,Gemini,0.001667,1
Vis-2F Claude,0.146017,0.8333333333,Vis,2F,Color_Map,Claude,0.146017,0.8333333333
Dat-2F Claude,0.0256,1.0,Dat,2F,Color_Map,Claude,0.025600,1
Par-2F Claude,0.013683,1.0,Par,2F,Color_Map,Claude,0.013683,1
Vis-2F GPT,0.009317,1.0,Vis,2F,Color_Map,GPT,0.009317,1
Dat-2F GPT,0.000633,1.0,Dat,2F,Color_Map,GPT,0.000633,1
Par-2F GPT,0.0,0.0,Par,2F,Color_Map,GPT,0.000000,0
Vis-2F Gemini,0.000833,1.0,Vis,2F,Color_Map,Gemini,0.000833,1
Dat-2F Gemini,0.120417,0.8333333333,Dat,2F,Color_Map,Gemini,0.120417,0.8333333333
Par-2F Gemini,0.166667,0.8333333333,Par,2F,Color_Map,Gemini,0.166667,0.8333333333
Vis-2G Claude,0.088333,1.0,Vis,2G,Color_Map,Claude,0.088333,1
Dat-2G Claude,0.0576,1.0,Dat,2G,Color_Map,Claude,0.057600,1
Par-2G Claude,0.03875,1.0,Par,2G,Color_Map,Claude,0.038750,1
Vis-2G GPT,0.0056,1.0,Vis,2G,Color_Map,GPT,0.005600,1
Dat-2G GPT,0.001217,1.0,Dat,2G,Color_Map,GPT,0.001217,1
Par-2G GPT,0.0,0.0,Par,2G,Color_Map,GPT,0.000000,0
Vis-2G Gemini,0.167083,0.8333333333,Vis,2G,Color_Map,Gemini,0.167083,0.8333333333
Dat-2G Gemini,0.120417,0.8333333333,Dat,2G,Color_Map,Gemini,0.120417,0.8333333333
Par-2G Gemini,0.000417,1.0,Par,2G,Color_Map,Gemini,0.000417,1
Vis-2H Claude,0.089717,1.0,Vis,2H,Color_Map,Claude,0.089717,1
Dat-2H Claude,0.0302,1.0,Dat,2H,Color_Map,Claude,0.030200,1
Par-2H Claude,0.04145,1.0,Par,2H,Color_Map,Claude,0.041450,1
Vis-2H GPT,0.005383,1.0,Vis,2H,Color_Map,GPT,0.005383,1
Dat-2H GPT,0.002767,1.0,Dat,2H,Color_Map,GPT,0.002767,1
Par-2H GPT,0.0,0.0,Par,2H,Color_Map,GPT,0.000000,0
Vis-2H Gemini,0.004167,1.0,Vis,2H,Color_Map,Gemini,0.004167,1
Dat-2H Gemini,0.004167,1.0,Dat,2H,Color_Map,Gemini,0.004167,1
Par-2H Gemini,0.004167,1.0,Par,2H,Color_Map,Gemini,0.004167,1
Vis-2I Claude,0.083183,0.8333333333,Vis,2I,Color_Map,Claude,0.083183,0.8333333333
Dat-2I Claude,0.08656,0.8333333333,Dat,2I,Color_Map,Claude,0.086560,0.8333333333
Vis-2I GPT,0.003917,1.0,Vis,2I,Color_Map,GPT,0.003917,1
Dat-2I GPT,0.002567,1.0,Dat,2I,Color_Map,GPT,0.002567,1
Par-2I GPT,0.0,0.0,Par,2I,Color_Map,GPT,0.000000,0
Vis-2I Gemini,0.135833,0.8333333333,Vis,2I,Color_Map,Gemini,0.135833,0.8333333333
Dat-2I Gemini,0.001667,1.0,Dat,2I,Color_Map,Gemini,0.001667,1
Par-2I Gemini,0.000417,1.0,Par,2I,Color_Map,Gemini,0.000417,1
Vis-2J Claude,0.0702,1.0,Vis,2J,Color_Map,Claude,0.070200,1
Dat-2J Claude,0.039667,1.0,Dat,2J,Color_Map,Claude,0.039667,1
Par-2J Claude,0.064333,0.8333333333,Par,2J,Color_Map,Claude,0.064333,0.8333333333
Vis-2J GPT,0.011133,1.0,Vis,2J,Color_Map,GPT,0.011133,1
Dat-2J GPT,0.00055,1.0,Dat,2J,Color_Map,GPT,0.000550,1
Par-2J GPT,0.0,0.0,Par,2J,Color_Map,GPT,0.000000,0
Vis-2J Gemini,0.167083,0.8333333333,Vis,2J,Color_Map,Gemini,0.167083,0.8333333333
Dat-2J Gemini,0.166667,0.8333333333,Dat,2J,Color_Map,Gemini,0.166667,0.8333333333
Par-2J Gemini,0.166667,0.8333333333,Par,2J,Color_Map,Gemini,0.166667,0.8333333333
Vis-3A Claude,0.212017,0.6666666667,Vis,3A,Isoline,Claude,0.212017,0.6666666667
Dat-3A Claude,0.0452,0.8333333333,Dat,3A,Isoline,Claude,0.045200,0.8333333333
Par-3A Claude,0.0452,0.8333333333,Par,3A,Isoline,Claude,0.045200,0.8333333333
Vis-3A GPT,0.0055,1.0,Vis,3A,Isoline,GPT,0.005500,1
Dat-3A GPT,0.000283,1.0,Dat,3A,Isoline,GPT,0.000283,1
Par-3A GPT,0.000433,1.0,Par,3A,Isoline,GPT,0.000433,1
Vis-3A Gemini,0.00375,1.0,Vis,3A,Isoline,Gemini,0.003750,1
Dat-3A Gemini,0.000417,1.0,Dat,3A,Isoline,Gemini,0.000417,1
Par-3A Gemini,0.0,1.0,Par,3A,Isoline,Gemini,0.000000,1
Vis-3B Claude,0.07905,1.0,Vis,3B,Isoline,Claude,0.079050,1
Dat-3B Claude,0.013533,1.0,Dat,3B,Isoline,Claude,0.013533,1
Par-3B Claude,0.010867,1.0,Par,3B,Isoline,Claude,0.010867,1
Vis-3B GPT,0.009583,1.0,Vis,3B,Isoline,GPT,0.009583,1
Dat-3B GPT,0.00145,1.0,Dat,3B,Isoline,GPT,0.001450,1
Par-3B GPT,0.002183,1.0,Par,3B,Isoline,GPT,0.002183,1
Vis-3B Gemini,0.005833,1.0,Vis,3B,Isoline,Gemini,0.005833,1
Dat-3B Gemini,0.150833,0.8333333333,Dat,3B,Isoline,Gemini,0.150833,0.8333333333
Par-3B Gemini,0.166667,0.8333333333,Par,3B,Isoline,Gemini,0.166667,0.8333333333
Vis-3C Claude,0.0787,1.0,Vis,3C,Isoline,Claude,0.078700,1
Dat-3C Claude,0.006583,1.0,Dat,3C,Isoline,Claude,0.006583,1
Par-3C Claude,0.002617,1.0,Par,3C,Isoline,Claude,0.002617,1
Vis-3C GPT,0.005583,1.0,Vis,3C,Isoline,GPT,0.005583,1
Dat-3C GPT,0.001367,1.0,Dat,3C,Isoline,GPT,0.001367,1
Par-3C GPT,0.0009,1.0,Par,3C,Isoline,GPT,0.000900,1
Vis-3C Gemini,0.004167,1.0,Vis,3C,Isoline,Gemini,0.004167,1
Dat-3C Gemini,0.000417,1.0,Dat,3C,Isoline,Gemini,0.000417,1
Par-3C Gemini,0.000417,1.0,Par,3C,Isoline,Gemini,0.000417,1
Vis-3D Claude,0.08225,1.0,Vis,3D,Isoline,Claude,0.082250,1
Dat-3D Claude,0.040583,1.0,Dat,3D,Isoline,Claude,0.040583,1
Par-3D Claude,0.013683,1.0,Par,3D,Isoline,Claude,0.013683,1
Vis-3D GPT,0.233983,0.6666666667,Vis,3D,Isoline,GPT,0.233983,0.6666666667
Dat-3D GPT,0.0013,1.0,Dat,3D,Isoline,GPT,0.001300,1
Par-3D GPT,0.004417,1.0,Par,3D,Isoline,GPT,0.004417,1
Vis-3D Gemini,0.001667,1.0,Vis,3D,Isoline,Gemini,0.001667,1
Dat-3D Gemini,0.000417,1.0,Dat,3D,Isoline,Gemini,0.000417,1
Par-3D Gemini,0.001667,1.0,Par,3D,Isoline,Gemini,0.001667,1
Vis-3E Claude,0.118167,0.8333333333,Vis,3E,Isoline,Claude,0.118167,0.8333333333
Dat-3E Claude,0.048717,0.8333333333,Dat,3E,Isoline,Claude,0.048717,0.8333333333
Par-3E Claude,0.088533,0.8333333333,Par,3E,Isoline,Claude,0.088533,0.8333333333
Vis-3E GPT,0.116683,0.8333333333,Vis,3E,Isoline,GPT,0.116683,0.8333333333
Dat-3E GPT,0.0059,1.0,Dat,3E,Isoline,GPT,0.005900,1
Par-3E GPT,0.01225,1.0,Par,3E,Isoline,GPT,0.012250,1
Vis-3E Gemini,0.120833,0.8333333333,Vis,3E,Isoline,Gemini,0.120833,0.8333333333
Dat-3E Gemini,0.120417,0.8333333333,Dat,3E,Isoline,Gemini,0.120417,0.8333333333
Par-3E Gemini,0.135,0.8333333333,Par,3E,Isoline,Gemini,0.135000,0.8333333333
Vis-3F Claude,0.0985,0.8333333333,Vis,3F,Isoline,Claude,0.098500,0.8333333333
Dat-3F Claude,0.081983,0.8333333333,Dat,3F,Isoline,Claude,0.081983,0.8333333333
Par-3F Claude,0.101633,0.8333333333,Par,3F,Isoline,Claude,0.101633,0.8333333333
Vis-3F GPT,0.014317,1.0,Vis,3F,Isoline,GPT,0.014317,1
Dat-3F GPT,0.0051,1.0,Dat,3F,Isoline,GPT,0.005100,1
Par-3F GPT,0.017567,1.0,Par,3F,Isoline,GPT,0.017567,1
Vis-3F Gemini,0.30125,0.6666666667,Vis,3F,Isoline,Gemini,0.301250,0.6666666667
Dat-3F Gemini,0.120833,0.8333333333,Dat,3F,Isoline,Gemini,0.120833,0.8333333333
Par-3F Gemini,0.317083,0.6666666667,Par,3F,Isoline,Gemini,0.317083,0.6666666667
Vis-3G Claude,0.06245,1.0,Vis,3G,Isoline,Claude,0.062450,1
Dat-3G Claude,0.01265,1.0,Dat,3G,Isoline,Claude,0.012650,1
Par-3G Claude,0.016333,1.0,Par,3G,Isoline,Claude,0.016333,1
Vis-3G GPT,0.008017,1.0,Vis,3G,Isoline,GPT,0.008017,1
Dat-3G GPT,0.001233,1.0,Dat,3G,Isoline,GPT,0.001233,1
Par-3G GPT,0.0038,1.0,Par,3G,Isoline,GPT,0.003800,1
Vis-3G Gemini,0.000417,1.0,Vis,3G,Isoline,Gemini,0.000417,1
Dat-3G Gemini,0.000417,1.0,Dat,3G,Isoline,Gemini,0.000417,1
Par-3G Gemini,0.000417,1.0,Par,3G,Isoline,Gemini,0.000417,1
Vis-3H Claude,0.07085,1.0,Vis,3H,Isoline,Claude,0.070850,1
Dat-3H Claude,0.043267,1.0,Dat,3H,Isoline,Claude,0.043267,1
Par-3H Claude,0.038617,1.0,Par,3H,Isoline,Claude,0.038617,1
Vis-3H GPT,0.224983,0.6666666667,Vis,3H,Isoline,GPT,0.224983,0.6666666667
Dat-3H GPT,0.1443,0.8333333333,Dat,3H,Isoline,GPT,0.144300,0.8333333333
Par-3H GPT,0.14775,0.8333333333,Par,3H,Isoline,GPT,0.147750,0.8333333333
Vis-3H Gemini,0.168333,0.8333333333,Vis,3H,Isoline,Gemini,0.168333,0.8333333333
Dat-3H Gemini,0.000417,1.0,Dat,3H,Isoline,Gemini,0.000417,1
Par-3H Gemini,0.000417,1.0,Par,3H,Isoline,Gemini,0.000417,1
Vis-3I Claude,0.09545,0.6666666667,Vis,3I,Isoline,Claude,0.095450,0.6666666667
Dat-3I Claude,0.006533,1.0,Dat,3I,Isoline,Claude,0.006533,1
Par-3I Claude,0.013133,0.8333333333,Par,3I,Isoline,Claude,0.013133,0.8333333333
Vis-3I GPT,0.013033,1.0,Vis,3I,Isoline,GPT,0.013033,1
Dat-3I GPT,0.00575,1.0,Dat,3I,Isoline,GPT,0.005750,1
Par-3I GPT,0.005683,1.0,Par,3I,Isoline,GPT,0.005683,1
Vis-3I Gemini,0.22875,0.6666666667,Vis,3I,Isoline,Gemini,0.228750,0.6666666667
Dat-3I Gemini,0.00375,1.0,Dat,3I,Isoline,Gemini,0.003750,1
Par-3I Gemini,0.120833,0.8333333333,Par,3I,Isoline,Gemini,0.120833,0.8333333333
Vis-3J Claude,0.047283,0.8333333333,Vis,3J,Isoline,Claude,0.047283,0.8333333333
Dat-3J Claude,0.0268,1.0,Dat,3J,Isoline,Claude,0.026800,1
Par-3J Claude,0.02525,1.0,Par,3J,Isoline,Claude,0.025250,1
Vis-3J GPT,0.128883,0.8333333333,Vis,3J,Isoline,GPT,0.128883,0.8333333333
Dat-3J GPT,0.002833,1.0,Dat,3J,Isoline,GPT,0.002833,1
Par-3J GPT,0.0035,1.0,Par,3J,Isoline,GPT,0.003500,1
Vis-3J Gemini,0.285417,0.6666666667,Vis,3J,Isoline,Gemini,0.285417,0.6666666667
Dat-3J Gemini,0.00375,1.0,Dat,3J,Isoline,Gemini,0.003750,1
Par-3J Gemini,0.000417,1.0,Par,3J,Isoline,Gemini,0.000417,1
Vis-4A Claude,0.175783,1.0,Vis,4A,Arrow_Glyph,Claude,0.175783,1
Dat-4A Claude,0.030067,1.0,Dat,4A,Arrow_Glyph,Claude,0.030067,1
Par-4A Claude,0.0158,1.0,Par,4A,Arrow_Glyph,Claude,0.015800,1
Vis-4A GPT,0.11025,0.8333333333,Vis,4A,Arrow_Glyph,GPT,0.110250,0.8333333333
Dat-4A GPT,0.01595,1.0,Dat,4A,Arrow_Glyph,GPT,0.015950,1
Par-4A GPT,0.01475,1.0,Par,4A,Arrow_Glyph,GPT,0.014750,1
Vis-4A Gemini,0.169167,0.8333333333,Vis,4A,Arrow_Glyph,Gemini,0.169167,0.8333333333
Dat-4A Gemini,0.000417,1.0,Dat,4A,Arrow_Glyph,Gemini,0.000417,1
Par-4A Gemini,0.00375,1.0,Par,4A,Arrow_Glyph,Gemini,0.003750,1
Vis-4B Claude,0.173033,0.8333333333,Vis,4B,Arrow_Glyph,Claude,0.173033,0.8333333333
Dat-4B Claude,0.008067,1.0,Dat,4B,Arrow_Glyph,Claude,0.008067,1
Par-4B Claude,0.01755,1.0,Par,4B,Arrow_Glyph,Claude,0.017550,1
Vis-4B GPT,0.029083,1.0,Vis,4B,Arrow_Glyph,GPT,0.029083,1
Dat-4B GPT,0.165217,0.8333333333,Dat,4B,Arrow_Glyph,GPT,0.165217,0.8333333333
Par-4B GPT,0.009017,1.0,Par,4B,Arrow_Glyph,GPT,0.009017,1
Vis-4B Gemini,0.167083,0.8333333333,Vis,4B,Arrow_Glyph,Gemini,0.167083,0.8333333333
Dat-4B Gemini,0.0,1.0,Dat,4B,Arrow_Glyph,Gemini,0.000000,1
Par-4B Gemini,0.0,1.0,Par,4B,Arrow_Glyph,Gemini,0.000000,1
Vis-4C Claude,0.111867,0.8333333333,Vis,4C,Arrow_Glyph,Claude,0.111867,0.8333333333
Dat-4C Claude,0.069583,0.8333333333,Dat,4C,Arrow_Glyph,Claude,0.069583,0.8333333333
Par-4C Claude,0.066533,0.8333333333,Par,4C,Arrow_Glyph,Claude,0.066533,0.8333333333
Vis-4C GPT,0.006933,1.0,Vis,4C,Arrow_Glyph,GPT,0.006933,1
Dat-4C GPT,0.000367,1.0,Dat,4C,Arrow_Glyph,GPT,0.000367,1
Par-4C GPT,0.150717,0.8333333333,Par,4C,Arrow_Glyph,GPT,0.150717,0.8333333333
Vis-4C Gemini,0.16875,0.8333333333,Vis,4C,Arrow_Glyph,Gemini,0.168750,0.8333333333
Dat-4C Gemini,0.150417,0.8333333333,Dat,4C,Arrow_Glyph,Gemini,0.150417,0.8333333333
Par-4C Gemini,0.167083,0.8333333333,Par,4C,Arrow_Glyph,Gemini,0.167083,0.8333333333
Vis-4D Claude,0.1357,0.6666666667,Vis,4D,Arrow_Glyph,Claude,0.135700,0.6666666667
Dat-4D Claude,0.074583,0.8333333333,Dat,4D,Arrow_Glyph,Claude,0.074583,0.8333333333
Par-4D Claude,0.082583,1.0,Par,4D,Arrow_Glyph,Claude,0.082583,1
Vis-4D GPT,0.14815,0.8333333333,Vis,4D,Arrow_Glyph,GPT,0.148150,0.8333333333
Dat-4D GPT,0.130417,0.8333333333,Dat,4D,Arrow_Glyph,GPT,0.130417,0.8333333333
